"id_bu","sexo","edad","eval_gob_1","percepcion_2","percepcion_3","percepcion_4","percepcion_5","percepcion_6","democracia_21","confianza_6_d","confianza_6_i","confianza_6_k","confianza_6_o","confianza_6_p","confianza_i","clase_3","clase_4"
"1303-93","2",71,1,2,2,2,2,2,1,4,4,4,4,4,1,3,4
"1304-93","2",63,1,2,2,2,2,4,3,3,3,4,3,2,2,3,2
"1305-93","2",54,3,4,2,2,4,3,3,4,3,4,3,3,1.6,2,3
"1306-93","2",59,1,2,1,1,3,3,1,4,4,4,4,4,1,3,4
"1307-93","1",21,2,3,1,2,4,4,3,2,3,4,3,3,2,2,2
"1310-93","2",36,1,2,2,1,3,5,2,1,4,4,2,4,2,1,2
"1313-93","2",53,1,3,2,2,4,4,1,4,3,4,3,3,1.6,2,3
"1314-93","1",36,3,3,2,2,3,4,1,4,4,4,4,4,1,2,3
"1315-93","1",19,1,3,1,2,3,4,1,3,4,3,2,3,2,2,2
"1316-93","1",40,2,3,2,2,3,3,1,4,3,4,4,4,1.2,2,3
"1317-93","1",21,1,2,1,1,4,2,2,3,3,3,3,3,2,3,4
"1319-93","1",28,1,3,1,2,4,3,3,2,3,3,3,3,2.2,2,3
"132-93","2",18,1,2,2,2,3,3,1,4,4,4,4,4,1,2,3
"1320-93","2",19,1,3,1,1,3,4,2,3,3,3,1,2,2.6,2,2
"1321-93","1",87,1,3,1,2,3,3,3,4,4,4,1,1,2.2,2,3
"1322-93","2",57,3,5,3,3,3,3,3,3,2,4,3,4,1.8,1,1
"1323-93","1",69,1,2,1,1,3,4,2,4,4,4,4,4,1,3,2
"1324-93","2",47,1,2,1,2,3,3,2,3,4,4,3,3,1.6,3,4
"1326-93","2",54,3,4,2,3,3,3,3,2,2,2,3,3,2.6,2,3
"1327-93","2",30,3,3,3,3,5,4,3,3,2,4,1,4,2.2,1,1
"1328-93","1",23,1,3,2,2,3,3,1,3,3,3,3,3,2,2,3
"1329-93","2",24,1,3,1,1,3,2,1,1,4,4,3,3,2,3,4
"133-93","2",25,1,3,3,2,3,4,1,3,3,3,2,3,2.2,1,1
"1330-93","2",73,1,2,3,1,3,4,3,4,4,4,3,3,1.4,1,2
"1331-93","1",38,3,4,2,2,3,3,1,3,3,3,3,3,2,2,3
"1332-93","2",46,1,2,1,1,4,5,2,2,4,2,2,2,2.6,1,2
"1334-93","2",65,3,3,2,3,2,4,2,4,2,4,2,4,1.8,2,3
"1335-93","2",72,3,2,3,3,3,3,1,4,4,4,4,4,1,1,3
